File,Key,English (needs Welsh)
"makeAnApplication/payForYourApplication.json","youWillBeRedirected","You will be redirected to GOV.UK Pay to complete your payment securely."
"makeAnApplication/payForYourApplication.json","govPayIsASecureService","GOV.UK Pay is a secure payment service used by government services."
"makeAnApplication/paymentUnsuccessful.json","pageTitle","Payment unsuccessful"
"makeAnApplication/paymentUnsuccessful.json","yourPaymentWasUnsuccessful","Your payment was unsuccessful"
"makeAnApplication/paymentUnsuccessful.json","youCanTryToMakeACardPayment","You can try to <a href=""{{ payForYourApplicationUrl }}"" class=""govuk-link"">make a card payment</a> again."
"makeAnApplication/whatOrderDoYouWantTheCourtToMakeAndWhy.json","list.SOMETHING_ELSE.0","why you want to add someone to your claim"
"makeAnApplication/whatOrderDoYouWantTheCourtToMakeAndWhy.json","list.SOMETHING_ELSE.1","why you should not be sanctioned (punished)"
"makeAnApplication/whatOrderDoYouWantTheCourtToMakeAndWhy.json","list.SOMETHING_ELSE.2","why you want to transfer to the High Court for enforcement"
"makeAnApplication/whatOrderDoYouWantTheCourtToMakeAndWhy.json","list.ADJOURN.0","you are unable to attend the hearing due a pre-existing medical appointment"
"makeAnApplication/whatOrderDoYouWantTheCourtToMakeAndWhy.json","list.ADJOURN.1","you are attending a funeral"
"respondToClaim/checkYourAnswersDocuments.json","cardTitle","Upload files"
"respondToClaim/checkYourAnswersDocuments.json","rows.uploadedDocuments.label","Uploaded files"
"respondToClaim/checkYourAnswersDocuments.json","rows.uploadedDocuments.changeHidden","uploaded files"
"respondToClaim/checkYourAnswersIncomeAndExpenses.json","frequencies.WEEKLY","every week"
"respondToClaim/checkYourAnswersIncomeAndExpenses.json","frequencies.MONTHLY","every month"
"respondToClaim/checkYourAnswersIncomeAndExpenses.json","incomeFrequencies.WEEKLY","received every week"
"respondToClaim/checkYourAnswersIncomeAndExpenses.json","incomeFrequencies.MONTHLY","received every month"
"respondToClaim/checkYourAnswersIncomeAndExpenses.json","paymentFrequencies.WEEKLY","paid every week"
"respondToClaim/checkYourAnswersIncomeAndExpenses.json","paymentFrequencies.MONTHLY","paid every month"
"respondToClaim/checkYourAnswersIncomeAndExpenses.json","rows.shareIncomeExpenseDetails.changeHidden","share income and expense details"
"respondToClaim/checkYourAnswersIncomeAndExpenses.json","rows.regularIncome.label","What regular income do you receive?"
"respondToClaim/checkYourAnswersIncomeAndExpenses.json","rows.hasAppliedForUniversalCredit.changeHidden","applied for Universal Credit"
"respondToClaim/checkYourAnswersIncomeAndExpenses.json","rows.universalCreditApplicationDate.label","When did you apply for Universal Credit?"
"respondToClaim/checkYourAnswersIncomeAndExpenses.json","rows.universalCreditApplicationDate.changeHidden","Universal Credit application date"
"respondToClaim/checkYourAnswersIncomeAndExpenses.json","rows.priorityDebtTotal.changeHidden","priority debt total"
"respondToClaim/checkYourAnswersIncomeAndExpenses.json","rows.priorityDebtContribution.changeHidden","priority debt contribution"
"respondToClaim/checkYourAnswersIncomeAndExpenses.json","rows.regularExpenses.label","What other regular expenses do you have?"
"respondToClaim/checkYourAnswersIncomeAndExpenses.json","rows.otherConsiderations.changeHidden","other considerations"
"respondToClaim/checkYourAnswersIncomeAndExpenses.json","rows.otherConsiderationsDetails.changeHidden","other considerations details"
"respondToClaim/checkYourAnswersPaymentsAndAgreements.json","cardTitle","Payments and agreements"
"respondToClaim/checkYourAnswersPaymentsAndAgreements.json","rows.paymentDetails.changeHidden","payment details"
"respondToClaim/checkYourAnswersPaymentsAndAgreements.json","rows.repaymentPlanAgreed.changeHidden","repayment agreement"
"respondToClaim/checkYourAnswersPaymentsAndAgreements.json","rows.repaymentAgreedDetails.changeHidden","repayment details"
"respondToClaim/checkYourAnswersPaymentsAndAgreements.json","rows.repayArrearsInstalments.changeHidden","offer to pay in instalments"
"respondToClaim/checkYourAnswersPaymentsAndAgreements.json","rows.installmentAmount.changeHidden","instalment amount"
"respondToClaim/checkYourAnswersPaymentsAndAgreements.json","rows.installmentFrequency.changeHidden","instalment frequency"
"respondToClaim/checkYourAnswersPersonalDetails.json","cardTitle","Personal details"
"respondToClaim/checkYourAnswersPersonalDetails.json","rows.defendantNameConfirmation.label","Is your name {{name}}?"
"respondToClaim/checkYourAnswersPersonalDetails.json","rows.defendantNameConfirmation.changeHidden","name"
"respondToClaim/checkYourAnswersPersonalDetails.json","rows.defendantName.label","Name"
"respondToClaim/checkYourAnswersPersonalDetails.json","rows.defendantName.changeHidden","corrected name"
"respondToClaim/checkYourAnswersPersonalDetails.json","rows.defendantNameCapture.changeHidden","name"
"respondToClaim/checkYourAnswersPersonalDetails.json","rows.dateOfBirth.label","What’s your date of birth?"
"respondToClaim/checkYourAnswersPersonalDetails.json","rows.correspondenceAddressConfirmation.label","Is your postal address {{address}}?"
"respondToClaim/checkYourAnswersPersonalDetails.json","rows.correspondenceAddressConfirmation.changeHidden","postal address"
"respondToClaim/checkYourAnswersPersonalDetails.json","rows.contactByEmailOrPost.changeHidden","how you receive updates"
"respondToClaim/checkYourAnswersPersonalDetails.json","rows.contactByEmailOrPost.options.none","None"
"respondToClaim/checkYourAnswersPersonalDetails.json","rows.contactByPhone.changeHidden","contact by phone"
"respondToClaim/checkYourAnswersPersonalDetails.json","rows.contactDetails.label","Contact details"
"respondToClaim/checkYourAnswersPersonalDetails.json","rows.contactDetails.changeHidden","contact details"
"respondToClaim/checkYourAnswersStartNowAndDetails.json","rows.hasSolicitor.changeHidden","do you have a solicitor"
"respondToClaim/checkYourAnswersYourCircumstances.json","rows.dependantChildrenDetails.changeHidden","dependent children details"
"respondToClaim/checkYourAnswersYourCircumstances.json","rows.otherDependantsDetails.changeHidden","other dependants details"
"respondToClaim/checkYourAnswersYourCircumstances.json","rows.otherTenants.changeHidden","other adults in your home"
"respondToClaim/checkYourAnswersYourCircumstances.json","rows.otherTenantsDetails.changeHidden","other adults details"
"respondToClaim/checkYourAnswersYourCircumstances.json","rows.alternativeAccommodation.changeHidden","alternative accommodation"
"respondToClaim/checkYourAnswersYourCircumstances.json","rows.alternativeAccommodationDate.label","When would you be able to move in?"
"respondToClaim/checkYourAnswersYourCircumstances.json","rows.alternativeAccommodationDate.changeHidden","alternative accommodation move-in date"
"respondToClaim/checkYourAnswersYourCircumstances.json","rows.shareAdditionalCircumstances.changeHidden","additional circumstances"
"respondToClaim/checkYourAnswersYourCircumstances.json","rows.shareAdditionalCircumstancesDetails.changeHidden","additional circumstances details"
"respondToClaim/checkYourAnswersYourCircumstances.json","rows.exceptionalHardshipDetails.changeHidden","exceptional hardship details"
"respondToClaim/checkYourAnswersYourResponse.json","cardTitle","Response"
"respondToClaim/checkYourAnswersYourResponse.json","rows.landlordRegistered.changeHidden","landlord registered"
"respondToClaim/checkYourAnswersYourResponse.json","rows.landlordLicensed.changeHidden","landlord licensed"
"respondToClaim/checkYourAnswersYourResponse.json","rows.tenancyTypeCorrect.changeHidden","tenancy type"
"respondToClaim/checkYourAnswersYourResponse.json","rows.tenancyTypeDetails.changeHidden","corrected tenancy type"
"respondToClaim/checkYourAnswersYourResponse.json","rows.tenancyStartDate.changeHidden","tenancy start date"
"respondToClaim/checkYourAnswersYourResponse.json","rows.tenancyStartDate.confirm.changeHidden","tenancy start date"
"respondToClaim/checkYourAnswersYourResponse.json","rows.tenancyStartDate.correctDate.label","What is the correct start date?"
"respondToClaim/checkYourAnswersYourResponse.json","rows.tenancyStartDate.correctDate.changeHidden","corrected tenancy start date"
"respondToClaim/checkYourAnswersYourResponse.json","rows.tenancyStartDate.labelEntered","When did your tenancy, occupation contract or licence start?"
"respondToClaim/checkYourAnswersYourResponse.json","rows.possessionNoticeReceived.changeHidden","notice received"
"respondToClaim/checkYourAnswersYourResponse.json","rows.noticeReceivedDate.label","When did you receive notice from {{claimantName}}?"
"respondToClaim/checkYourAnswersYourResponse.json","rows.noticeReceivedDate.changeHidden","notice received date"
"respondToClaim/checkYourAnswersYourResponse.json","rows.rentArrearsAmountConfirmation.changeHidden","rent arrears amount"
"respondToClaim/checkYourAnswersYourResponse.json","rows.rentArrearsAmountDetails.changeHidden","rent arrears amount details"
"respondToClaim/checkYourAnswersYourResponse.json","rows.disputeClaim.changeHidden","dispute other parts of the claim"
"respondToClaim/checkYourAnswersYourResponse.json","rows.disputeClaimDetails.changeHidden","dispute details"
"respondToClaim/checkYourAnswersYourResponse.json","rows.makeCounterClaim.changeHidden","make a counterclaim"
"respondToClaim/checkYourAnswersYourResponse.json","rows.counterClaimType.changeHidden","counterclaim type"
"respondToClaim/checkYourAnswersYourResponse.json","rows.isClaimAmountKnown.changeHidden","claim amount known"
"respondToClaim/checkYourAnswersYourResponse.json","rows.claimAmount.changeHidden","claim amount"
"respondToClaim/checkYourAnswersYourResponse.json","rows.estimatedMaxClaimAmount.changeHidden","estimated maximum claim amount"
"respondToClaim/checkYourAnswersYourResponse.json","rows.counterClaimNeedHelpWithFees.changeHidden","help paying the counterclaim fee"
"respondToClaim/checkYourAnswersYourResponse.json","rows.counterClaimAppliedForHwf.changeHidden","applied for help with fees"
"respondToClaim/checkYourAnswersYourResponse.json","rows.counterClaimHwfReference.changeHidden","Help with Fees reference number"
"respondToClaim/checkYourAnswersYourResponse.json","rows.counterClaimFor.changeHidden","counterclaim subject"
"respondToClaim/checkYourAnswersYourResponse.json","rows.counterClaimReasons.changeHidden","counterclaim reasons"
"respondToClaim/checkYourAnswersYourResponse.json","rows.counterClaimAgainst.changeHidden","counterclaim against"
"respondToClaim/checkYourAnswersYourResponse.json","rows.otherOrderRequestDetails.changeHidden","orders requested"
"respondToClaim/checkYourAnswersYourResponse.json","rows.otherOrderRequestFacts.changeHidden","facts for the court"
"respondToClaim/checkYourAnswersYourResponse.json","rows.counterClaimWantToUploadFiles.changeHidden","upload files for counterclaim"
"respondToClaim/checkYourAnswersYourResponse.json","rows.counterClaimDocuments.label","Uploaded files"
"respondToClaim/checkYourAnswersYourResponse.json","rows.counterClaimDocuments.changeHidden","uploaded files for counterclaim"
"respondToClaim/contactPreferencesEmailOrPost.json","content","<p class=""govuk-body"">Important documents like orders will always be sent by post.</p><p class=""govuk-body""> You can choose to receive updates about your case by post or email. For example, when a hearing has been scheduled or a document is ready to view online.</p>"
"respondToClaim/counterClaim.json","whatCounterClaimIsBullet1","a party in the case"
"respondToClaim/counterClaim.json","whatCounterClaimIsBullet2","against a party and someone else that can be considered as part of the same case"
"respondToClaim/counterClaim.json","whatCounterClaimIsLinkText","<a href=""https://england.shelter.org.uk/professional_resources/legal/possession_and_eviction/tenant_defences_to_possession/tenant_defence_and_counterclaim_process"" target=""_blank"" rel=""noopener noreferrer"" class=""govuk-link"">Read guidance on counterclaims from Shelter (opens in new tab)</a>."
"respondToClaim/counterClaim.json","whenMakeCounterClaimBullet1","left the property in a state of disrepair"
"respondToClaim/counterClaim.json","whenMakeCounterClaimBullet2","did not protect your tenancy deposit"
"respondToClaim/counterClaim.json","counterClaimFeesCourtFeesLinkText","<a href=""https://www.gov.uk/government/publications/fees-in-the-civil-and-family-courts-main-fees-ex50/civil-court-fees-ex50"" target=""_blank"" rel=""noopener noreferrer"" class=""govuk-link"">Find out about court fees (opens in new tab)</a>."
"respondToClaim/counterClaimApplicationFeeAmount.json","pageTitle","Pay your counterclaim fee"
"respondToClaim/counterClaimApplicationFeeAmount.json","notApplicable","Not applicable"
"respondToClaim/counterClaimApplicationFeeAmount.json","counterClaimAmountLabel","Counterclaim amount"
"respondToClaim/counterClaimApplicationFeeAmount.json","payNowButton","Pay your counterclaim fee ({{counterClaimFee, currency(currency: GBP)}})"
"respondToClaim/counterClaimApplicationFeeAmount.json","paymentError","We could not start your payment. Try again."
"respondToClaim/counterClaimHaveYouAppliedForHelp.json","revealedHwfQuestionHint","<span class=""govuk-body govuk-!-display-block govuk-!-margin-bottom-1"">You will have received this number when you applied for Help with Fees. This reference must not have been used for a previous application.</span>For example, HWF-A1B-23C"
"respondToClaim/counterClaimPaymentSuccessful.json","pageTitle","Payment successful"
"respondToClaim/counterClaimPaymentSuccessful.json","paragraph1","Your counterclaim fee has been paid and your counterclaim has been submitted."
"respondToClaim/counterClaimPaymentSuccessful.json","paymentReference","Your payment reference number is: {{paymentReference}}"
"respondToClaim/counterClaimSpecificSum.json","specificFeeText","<p class=""govuk-body"">Your counterclaim fee (the fee you will pay to make this counterclaim) depends on the amount you’re claiming for.</p><p class=""govuk-body"">If you want to check how much your fee will be, you can <a href=""https://www.gov.uk/government/publications/fees-in-the-civil-and-family-courts-main-fees-ex50/civil-court-fees-ex50"" class=""govuk-link"" target=""_blank"" rel=""noopener noreferrer"">estimate how much it will cost you to make your counterclaim (opens in new tab)</a></p>"
"respondToClaim/counterClaimSpecificSum.json","noSpecificFeeText","<p class=""govuk-body"">If you do not know the specific sum you’re claiming for, the court needs to know what you believe the maximum value of your claim will be.</p><p class=""govuk-body"">If you do not know the exact amount, give an estimate.</p>"
"respondToClaim/disputeClaimInterstitial.json","listItem1","the tenancy, occupation contract or licence agreement you signed to rent your property"
"respondToClaim/endOfJourneyCya.json","sections.legalAdvice","Legal advice"
"respondToClaim/endOfJourneyCya.json","sections.personalDetails","Personal details"
"respondToClaim/endOfJourneyCya.json","sections.dependantsAndOtherResidents","Dependants and other residents"
"respondToClaim/endOfJourneyCya.json","sections.uploadFiles","Upload files"
"respondToClaim/endOfJourneyCya.json","sections.otherConsiderations","Other considerations"
"respondToClaim/endOfJourneyCya.json","rows.uploadedDocuments.label","Upload any files that you think are relevant to your response"
"respondToClaim/endOfJourneyCya.json","rows.otherConsiderations.changeHidden","whether there is anything else you want to tell the court as part of your response"
"respondToClaim/endOfJourneyCya.json","rows.otherConsiderationsDetails.changeHidden","the details about what else you want to tell the court"
"respondToClaim/endOfJourneyCya.json","rows.languageUsed.changeHidden","which language you used to complete your response"
"respondToClaim/endOfJourneyCya.json","statementOfTruth.hint","Please check all the details you have entered for accuracy."
"respondToClaim/endOfJourneyCya.json","statementOfTruth.beliefOption","I believe that the facts stated in this defence form are true."
"respondToClaim/endOfJourneyCya.json","errors.statementOfTruthContempt","Select if you understand that proceedings for contempt of court may be brought against anyone who makes, or causes to be made, a false statement in a document verified by a statement of truth without an honest belief in its truth"
"respondToClaim/endOfJourneyCya.json","errors.statementOfTruthBelief","Select if you believe that the facts stated in this defence form are true"
"respondToClaim/endOfJourneyCya.json","errors.fullName","Enter your full name"
"respondToClaim/legalrep/confirmationOfNoticeDateWhenNotProvided.json","question","When did the defendant receive notice from {{claimantName}} (optional)?"
"respondToClaim/legalrep/confirmationOfNoticeDateWhenNotProvided.json","errors.date.notRealDate","The date the defendant received notice must be a real date"
"respondToClaim/legalrep/confirmationOfNoticeDateWhenNotProvided.json","errors.date.futureDate","The date the defendant received notice must either be today’s date or in the past"
"respondToClaim/legalrep/confirmationOfNoticeDateWhenNotProvided.json","errors.date.invalidValue","The date the defendant received notice must be a real date"
"respondToClaim/legalrep/confirmationOfNoticeDateWhenNotProvided.json","errors.date.missingOne","The date the defendant received notice must include a {{missingField}}"
"respondToClaim/legalrep/confirmationOfNoticeDateWhenNotProvided.json","errors.date.missingTwo","The date the defendant received notice must include a {{first}} and {{second}}"
"respondToClaim/legalrep/confirmationOfNoticeDateWhenProvided.json","hintText","When making the claim, {{claimantName}} had to say the date they gave the defendant notice (the date of service)."
"respondToClaim/legalrep/confirmationOfNoticeDateWhenProvided.json","listItem1","They served the defendant with a notice seeking possession on {{noticeDate}}"
"respondToClaim/legalrep/confirmationOfNoticeDateWhenProvided.json","question","When did the defendant receive notice from {{claimantName}} (optional)?"
"respondToClaim/legalrep/confirmationOfNoticeDateWhenProvided.json","errors.date.notRealDate","The date the defendant received notice must be a real date"
"respondToClaim/legalrep/confirmationOfNoticeDateWhenProvided.json","errors.date.futureDate","The date the defendant received notice must either be today’s date or in the past"
"respondToClaim/legalrep/confirmationOfNoticeDateWhenProvided.json","errors.date.invalidValue","The date the defendant received notice must be a real date"
"respondToClaim/legalrep/confirmationOfNoticeDateWhenProvided.json","errors.date.missingOne","The date the defendant received notice must include a {{missingField}}"
"respondToClaim/legalrep/confirmationOfNoticeDateWhenProvided.json","errors.date.missingTwo","The date defendant received notice must include a {{first}} and {{second}}"
"respondToClaim/legalrep/confirmationOfNoticeGiven.json","question","Did {{claimantName}} give the defendant notice of their intention to begin possession proceedings?"
"respondToClaim/legalrep/confirmationOfNoticeGiven.json","options.imNotSure","Defendant is not sure"
"respondToClaim/legalrep/confirmationOfNoticeGiven.json","noticeDateLabel","When did the defendant receive notice from {{claimantName}}? (Optional)"
"respondToClaim/legalrep/confirmationOfNoticeGiven.json","errors.possessionNoticeReceived","Select if {{claimantName}} gave the defendant notice of their intention to begin possession proceedings"
"respondToClaim/legalrep/confirmationOfNoticeGiven.json","errors.date.required","The date must include a day, month and year"
"respondToClaim/legalrep/confirmationOfNoticeGiven.json","errors.date.notRealDate","The date must be a real date"
"respondToClaim/legalrep/confirmationOfNoticeGiven.json","errors.date.futureDate","The date must be in the past"
"respondToClaim/legalrep/confirmationOfNoticeGiven.json","errors.date.missingOne","The date must include a {{missingField}}"
"respondToClaim/legalrep/confirmationOfNoticeGiven.json","errors.date.missingTwo","The date must include a {{first}} and {{second}}"
"respondToClaim/legalrep/doAnyOtherAdultsLiveInYourHome.json","dependantQuestion","Do any other adults live in the defendant’s home?"
"respondToClaim/legalrep/doAnyOtherAdultsLiveInYourHome.json","textAreaLabel","Give details about the other adults living in the defendant’s home"
"respondToClaim/legalrep/doAnyOtherAdultsLiveInYourHome.json","errors.confirmOtherAdults","Select if any other adults live in the defendant’s home"
"respondToClaim/legalrep/doAnyOtherAdultsLiveInYourHome.json","errors.otherAdultsDetails","Give details about the other adults living in their home"
"respondToClaim/legalrep/doAnyOtherAdultsLiveInYourHome.json","errors.otherAdultsDetailsInvalidCharacters","Give details about the other adults living in their home must only include letters a to z, and special characters such as hyphens, spaces and apostrophes"
"respondToClaim/legalrep/doYouHaveAnyDependantChildren.json","dependentQuestion","Does the defendant have any dependant children?"
"respondToClaim/legalrep/doYouHaveAnyDependantChildren.json","dependentChildrenDetailsLabel","Give details about their dependant children"
"respondToClaim/legalrep/doYouHaveAnyDependantChildren.json","errors.dependentChildren","Select if they have any dependant children"
"respondToClaim/legalrep/doYouHaveAnyDependantChildren.json","errors.dependentChildrenDetails","Give details about their dependant children"
"respondToClaim/legalrep/doYouHaveAnyOtherDependants.json","dependantQuestion","Does the defendant have any other dependants?"
"respondToClaim/legalrep/doYouHaveAnyOtherDependants.json","otherDependantDetailsLabel","Give details about their other dependants"
"respondToClaim/legalrep/doYouHaveAnyOtherDependants.json","errors.otherDependants","Select if they have any other dependants"
"respondToClaim/legalrep/doYouHaveAnyOtherDependants.json","errors.otherDependantDetails","Give details about their other dependants"
"respondToClaim/legalrep/exceptionalHardship.json","introParagraph1","You can use this section to explain any exceptional hardship the defendant may experience if they were asked to leave their home."
"respondToClaim/legalrep/exceptionalHardship.json","introParagraph3","Any details the defendant provides will be considered by a judge when making their decision, but it is up to them to decide if exceptional hardship applies."
"respondToClaim/legalrep/exceptionalHardship.json","forExample","For example, the defendant might have:"
"respondToClaim/legalrep/exceptionalHardship.json","bullet2","lost their job or been made redundant"
"respondToClaim/legalrep/exceptionalHardship.json","question","Would the defendant experience exceptional hardship if they were asked to leave their home?"
"respondToClaim/legalrep/exceptionalHardship.json","textAreaLabel","Give details about the exceptional hardship the defendant would experience"
"respondToClaim/legalrep/exceptionalHardship.json","errors.exceptionalHardship","Select if the defendant would experience exceptional hardship if they were asked to leave their home"
"respondToClaim/legalrep/exceptionalHardship.json","errors.exceptionalHardshipDetails","Give details about the exceptional hardship the defendant would experience"
"respondToClaim/legalrep/exceptionalHardship.json","errors.exceptionalHardshipDetailsInvalidCharacters","The details of the exceptional hardship the defendant would experience must only include letters a to z, and special characters such as hyphens, spaces and apostrophes"
"respondToClaim/legalrep/haveYouAppliedForUniversalCredit.json","question","Has the defendant applied for Universal Credit?"
"respondToClaim/legalrep/haveYouAppliedForUniversalCredit.json","dateLabel","When did the defendant apply?"
"respondToClaim/legalrep/haveYouAppliedForUniversalCredit.json","errors.haveAppliedForUniversalCredit","Select if the defendant has applied for Universal Credit"
"respondToClaim/legalrep/haveYouAppliedForUniversalCredit.json","errors.date.required","Enter the date the defendant applied for Universal Credit"
"respondToClaim/legalrep/haveYouAppliedForUniversalCredit.json","errors.date.missingOne","The date the defendant applied for Universal Credit must include a {{missingField}}"
"respondToClaim/legalrep/haveYouAppliedForUniversalCredit.json","errors.date.missingTwo","The date the defendant applied for Universal Credit must include a {{first}} and {{second}}"
"respondToClaim/legalrep/haveYouAppliedForUniversalCredit.json","errors.date.notRealDate","The date the defendant applied for Universal Credit must be a real date"
"respondToClaim/legalrep/haveYouAppliedForUniversalCredit.json","errors.date.futureDate","The date the defendant applied for Universal Credit must must either be today’s date or in the past"
"respondToClaim/legalrep/howMuchAffordToPay.json","amountQuestion","How much could the defendant afford to pay in addition to the current rent?"
"respondToClaim/legalrep/howMuchAffordToPay.json","frequencyQuestion","How frequently could the defendant afford to pay this amount?"
"respondToClaim/legalrep/howMuchAffordToPay.json","errors.installmentAmount","Enter how much the defendant could afford to pay in addition to the current rent"
"respondToClaim/legalrep/howMuchAffordToPay.json","errors.installmentAmountMax","The amount the defendant could afford to pay in addition to the current rent must be less than £1 billion"
"respondToClaim/legalrep/howMuchAffordToPay.json","errors.installmentAmountMin","The amount the defendant could afford to pay in addition to the current rent must be £0.00 or above"
"respondToClaim/legalrep/howMuchAffordToPay.json","errors.installmentFrequency","Select how frequently the defendant could afford to pay this amount"
"respondToClaim/legalrep/incomeAndExpenses.json","infoParagraph1","Details about the defendant’s income and expenses can be used by a judge to reach a decision on their case, and also to decide how much they could afford to repay if they have rent arrears."
"respondToClaim/legalrep/incomeAndExpenses.json","infoParagraph2","Providing details about the defendant’s income and expenses is optional."
"respondToClaim/legalrep/incomeAndExpenses.json","infoParagraph3","The claimant will be able to see the defendant’s answers."
"respondToClaim/legalrep/incomeAndExpenses.json","question","Does the defendant want to provide details of their income and expenses?"
"respondToClaim/legalrep/incomeAndExpenses.json","errors.provideFinanceDetails","Select if the defendant wants to provide details of their income and expenses"
"respondToClaim/legalrep/installmentPayments.json","pageTitle","Instalment payments"
"respondToClaim/legalrep/installmentPayments.json","heading","Instalment payments"
"respondToClaim/legalrep/installmentPayments.json","question","Would the defendant like to offer to pay off their arrears in instalments?"
"respondToClaim/legalrep/installmentPayments.json","errors.confirmInstallmentOffer","Select whether the defendant would like to offer to pay off their arrears in instalments"
"respondToClaim/legalrep/landlordLicensed.json","paragraph","You can check if the landlord is licensed by searching the <a href=""https://rentsmart.gov.wales/en/check-register/"" target=""_blank"" rel=""noopener noreferrer"" class=""govuk-link""> Public Register (opens in new tab)</a>."
"respondToClaim/legalrep/landlordLicensed.json","question","Is the landlord licensed?"
"respondToClaim/legalrep/landlordLicensed.json","options.imNotSure","Defendant is not sure"
"respondToClaim/legalrep/landlordLicensed.json","errors.confirmLandlordLicensed","Select if the defendant agrees with the landlord’s claim to be licensed"
"respondToClaim/legalrep/landlordRegistered.json","introText","You can check if the landlord is registered by searching the"
"respondToClaim/legalrep/landlordRegistered.json","question","Is the landlord registered?"
"respondToClaim/legalrep/landlordRegistered.json","options.imNotSure","Defendant is not sure"
"respondToClaim/legalrep/landlordRegistered.json","errors.landlordRegistered","Select if the defendant agrees with the landlord’s claim to be registered"
"respondToClaim/legalrep/nonRentArrearsDispute.json","disputeOtherPartsQuestion","Does the defendant dispute any other parts of the claim?"
"respondToClaim/legalrep/nonRentArrearsDispute.json","disputeDetails.label","Explain which parts of the claim the defendant does not agree with"
"respondToClaim/legalrep/nonRentArrearsDispute.json","errors.disputeOtherParts","Select if the defendant wants to dispute any other parts of the claim"
"respondToClaim/legalrep/nonRentArrearsDispute.json","errors.disputeDetails.required","Enter the parts of the claim the defendant disputes"
"respondToClaim/legalrep/otherConsiderations.json","heading","Other considerations"
"respondToClaim/legalrep/otherConsiderations.json","question","Is there anything else the defendant wants to tell the court as part of their response?"
"respondToClaim/legalrep/otherConsiderations.json","otherConsiderationsDetailsLabel","Give details about what else the defendant wants to tell the court"
"respondToClaim/legalrep/otherConsiderations.json","errors.otherConsiderations","Select if there is anything else the defendant wants to tell the court"
"respondToClaim/legalrep/otherConsiderations.json","errors.otherConsiderationsDetails","Enter details about what the defendant wants to tell the court"
"respondToClaim/legalrep/otherConsiderations.json","errors.otherConsiderationsInvalid","Give details about what else the defendant wants to tell the court must only include letters a to z, and special characters such as hyphens, spaces and apostrophes"
"respondToClaim/legalrep/otherConsiderations.json","errors.otherConsiderationsDetailsMaxLength","Details about what else the defendant wants to tell the court must be 6400 characters or less"
"respondToClaim/legalrep/priorityDebtDetails.json","totalQuestion","What is the total amount the defendant owes for all their priority debts?"
"respondToClaim/legalrep/priorityDebtDetails.json","contributionQuestion","How much does the defendant pay towards their priority debts each week or month?"
